viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
6450,114,0,17,항공 +코로나 -스포츠,"로마도 코로나19 확산…국내 항공 &#39;이탈리아 운항 중단&#39;, 정명훈 &#39;공연 취소&#39;",뉴스TVCHOSUN,https://www.youtube.com/watch?v=_UpbeDDLxZE,2020-03-03
127539,1118,0,514,항공 +코로나 -스포츠,"[단독]대한항공, ‘양성 확인서’ 낸 승객 태웠다 | 뉴스A",채널A 뉴스,https://www.youtube.com/watch?v=0E7Q1KJH77o,2021-07-22
4627,31,0,4,항공 +코로나 -스포츠,"중동 최대 에미레이트 항공, 코로나19로 구조조정 / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=Hnw7lfkK_QY,2020-06-01
9197,60,0,18,항공 +코로나 -스포츠,코로나19 직격탄에 대한항공 직원 70% 휴직 | 뉴스A,채널A 뉴스,https://www.youtube.com/watch?v=uxV5WLh0UTI,2020-04-08
4072,16,0,11,항공 +코로나 -스포츠,"[기업] 대한항공, 국내 최초 코로나19 백신 원료 수송 / YTN", YTN,https://www.youtube.com/watch?v=-Aqac4FnZd4,2020-12-09
652,8,0,0,항공 +코로나 -스포츠,"대한항공, 코로나에도 지난해 국제화물수송 세계 5위 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,https://www.youtube.com/watch?v=SnL1ZLIyoAg,2021-08-01
2751,8,0,3,항공 +코로나 -스포츠,"항공업계, 코로나19 확산 주춤하자 국제선 운항 재개 / YTN 사이언스",YTN 사이언스 투데이,https://www.youtube.com/watch?v=5HOLpdJDsfs,2020-05-22
431,1,0,0,항공 +코로나 -스포츠,코로나 재확산 속 항공수요 급증…전세계 비행 지연 속출 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=wnlQ-gvNkrw,2022-07-22
5198,39,0,4,항공 +코로나 -스포츠,"중동 최대 에미레이트 항공, 코로나19로 구조조정 / KBS뉴스(News)",KBS News,https://www.youtube.com/watch?v=39p0YjtPzFU,2020-06-01
765,47,0,3,항공 +코로나 -스포츠,"2023 제주항공 채용 자소서, 면접, 기업분석 이 영상 하나로 끝🤗 ㅣ 객실승무직, 항공사 일반직",Easy English & Airline interview with 꿈푸언니,https://www.youtube.com/watch?v=EZxKbLvf5Is,2023-01-31
1047,9,0,9,항공 +코로나 -스포츠,"[기업] 대한항공, 코로나19 위기극복 의지 담은 영상 제작 / YTN", YTN,https://www.youtube.com/watch?v=2rcjFdjFyDs,2020-06-03
69,3,0,0,항공 +코로나 -스포츠,&#39;코로나&#39;에 물류산업 호황...항공운수업은 매출 반 토막 / YTN 사이언스,YTN 사이언스 투데이,https://www.youtube.com/watch?v=mLuKVqbZTyA,2021-12-29
133,1,0,0,항공 +코로나 -스포츠,대구·경북 코로나19 재확산…항공·여행업계 다시 주저앉나? / KBS  2022.08.02.,KBS 대구,https://www.youtube.com/watch?v=97nijEMMviw,2022-08-02
2386,18,0,33,항공 +코로나 -스포츠,"홍콩, 공짜 항공권 50만 장 쏜다…한국엔 언제쯤 줄까? / SBS / 뉴블더",SBS 뉴스,https://www.youtube.com/watch?v=i7lmbhnwpIQ,2023-02-03
233,9,0,0,항공 +코로나 -스포츠,원숭이두창·코로나19 재유행 항공업계 ‘비상’,뉴스토마토,https://www.youtube.com/watch?v=3lI11d-kHIk,2022-08-01
748,13,0,2,항공 +코로나 -스포츠,"[주간 경제 이야기] 세계적 코로나19 백신 접종 항공업계, 국제선 시동 / 머니투데이방송",MTN 머니투데이방송,https://www.youtube.com/watch?v=JJUYnA4f2WM,2021-06-25
289,1,0,1,항공 +코로나 -스포츠,"[뉴스후] 항공·유통·중공업 전방위 인력 감축…코로나, 탈원전 이유는 재각각 / 머니투데이방송 (뉴스)",MTN 머니투데이방송,https://www.youtube.com/watch?v=H08e60rGq9s,2020-02-24
2319,24,0,0,항공 +코로나 -스포츠,대한항공 승무원 코로나19 추가 확진 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=v58cktb4YAw,2020-03-07
639,6,0,0,항공 +코로나 -스포츠,"[코로나19] 항공업계, 최대 위기속 &#39;수술실급 기내 살균&#39; / 머니투데이방송 (뉴스)",MTN 머니투데이방송,https://www.youtube.com/watch?v=gGAB7R3VAxE,2020-03-04
186184,971,0,524,항공 +코로나 -스포츠,"항공사 해고 속출, 기장도 이직 행렬 / KBS",KBS News,https://www.youtube.com/watch?v=1rGnCzgjPgs,2020-11-22
353,4,0,0,항공 +코로나 -스포츠,입국 전 코로나 검사 폐지...합병 추이는? / 대한항공,토마토증권통 TomatoTV,https://www.youtube.com/watch?v=wb9deGmKrW8,2022-08-31
790,6,0,0,항공 +코로나 -스포츠,항공업계 코로나19 직격탄…국제선 여객 96% 급감 (2020.04.06/5MBC뉴스),MBCNEWS,https://www.youtube.com/watch?v=8uDpYb4xUR0,2020-04-06
1085,6,0,1,항공 +코로나 -스포츠,[코로나19 국제뉴스] 코로나19에 태국 국영기업 타이항공 결국 법정관리 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=Yx-i9sCblq0,2020-05-20
