,viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
281,45,1,0,2,항공사+주가,[한국경제] (어닝 서프라이즈) 많이 번 기업이 주가도 뛴다…전문가들 눈 여겨 보는 종목은 서형교 기자,Economic news 읽어주는 여자 이코녀,https://www.youtube.com/watch?v=5HT8Zc8O28Y,2022-05-01
282,243,5,0,1,항공사+주가,[한진칼] 항공사 메가딜의 핵심은 여기!!! 오늘의 추천종목 제이엔케이히터,더블유경제TV,https://www.youtube.com/watch?v=ozNP-lOEH1c,2020-11-16
283,107,1,0,0,항공사+주가,"금호산업 아시아나 지분, 통합 항공사 거래종결 후 1년내 처분 | 연합뉴스",Krista Johnson,https://www.youtube.com/watch?v=rNcgrP66sN0,2020-12-03
284,2008,32,0,4,항공사+주가,대한항공-아시아나 합병 조건부 승인…운항편수 축소 우려도 [MBN 종합뉴스],MBN News,https://www.youtube.com/watch?v=P01DP7Zc5hk,2021-12-29
285,1181,10,0,1,항공사+주가,아시아나항공 상장 유지된다…주식 거래 재개 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=rBy295Nqmkw,2021-07-16
286,21368,532,0,73,항공사+주가,"경기 최악 상황 안온다, 주식 매수해야 하는 이유 5가지 / 김선형의 진짜전략 / 투자의 아침 / 한국경제TV",한국경제TV,https://www.youtube.com/watch?v=Gyljl11UbBg,2022-04-27
287,117,0,0,2,항공사+주가,[~2021년 8월] 최근 10년 우리나라 8개 항공사 비행기 몇대 가지고 있을까? (보잉/에어버스 항공기 보유대수),에어뷰: 항공 · 여행,https://www.youtube.com/watch?v=dQ5q1-QodSc,2021-09-10
288,579,16,0,2,항공사+주가,"티웨이, 아시아나, 제주항공, 대한항공, 에어부산... 항공사 데스매치, 과연 누가 이길까? 코로나가 끝나도 계속 될 진흙탕 싸움, 그 미래는 어둡다.",채널 DRS- 항공 위키백과 airline wikipedia,https://www.youtube.com/watch?v=I1BsorUsjM4,2020-11-05
289,29420,655,0,59,항공사+주가,"[글로벌 개장시황] 친환경시대, 우라늄 주식에 눈길이 간다? f. 미국주식에미치다 장우석 본부장",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=KJjyjr94tcg,2021-04-06
290,122,0,0,0,항공사+주가,일시적 &#39;겸업 허용&#39;에 숨통 트인 항공사 직원들,뉴스토마토,https://www.youtube.com/watch?v=ptxIskYKkEs,2021-04-15
291,17305,1946,0,382,항공사+주가,[주식]1년 이내 200% 상승 할 수 있는 종목 3개 공개(20220414목)주식 주식투자 주식강의 주식공부 주식초보 주식단타 주식고수 단타매매,안정모의 주식투자,https://www.youtube.com/watch?v=-ru9Dw2WlCI,2022-04-14
292,755,11,0,3,항공사+주가,[박하윤 아나운서] &quot;한진칼 증자 문제 없다&quot; 양대 항공사 통합 탄력,한국직업방송,https://www.youtube.com/watch?v=_-CbQaI4Gs0,2020-12-03
293,4074,107,0,16,항공사+주가,[주식] [씨젠 대한항공 아시아나항공 주식분석] 씨젠 어닝 서프라이즈 대응 및 대한항공 유상증자 이슈!,절제주식투자연구소,https://www.youtube.com/watch?v=UIrI-yXD4fQ,2020-05-14
294,161324,4620,0,109,항공사+주가,투자의 선배가 전하는 초보 투자자들을 위한 가이드  [오늘 처음 투자를 시작한 당신에게 1-1부],삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=cIvdEC-rQpY,2020-06-28
295,1837,27,0,5,항공사+주가,희비 갈린 항공사…아시아나 흑자전환,서울경제TV 포커스온,https://www.youtube.com/watch?v=1Uf54bqV4-Y,2021-08-17
296,71681,812,0,63,항공사+주가,그래서 삼성전자 주식  지금 사? 말아? 주식 최고수에게 물어봤다!! [귀찮지만 알려줘 ep.7],TVCHOSUN - TV조선,https://www.youtube.com/watch?v=7bYGFkxDxL8,2020-04-08
297,23042,1662,0,67,항공사+주가,(오늘의 미국주식뉴스 1부) 미국증시 이틀 연속 폭락 이끌어낸 IMF 토론회 / 주식투자 계속해도 괜찮을까?,미국주식으로 은퇴하기 - 미주은,https://www.youtube.com/watch?v=aQNAV4tWPUI,2022-04-25
298,246,,0,,항공사+주가,"쌍방울(102280), 광림(014200) ★ 항공사인수! 기업분석을 하면 답이 나온다",파트너스코리아,https://www.youtube.com/watch?v=z2cNjbkfqrw,2021-06-16
299,28,3,0,0,항공사+주가,"PEF, 정체기업에 &#39;성장판&#39; 이식/대한항공, 올해 영업이익 200% 늘 듯/&#39;115조 깜깜이 대출&#39;에 속앓이...위기의 은행들/&quot;알아서 굴려주겠지&quot;... 퇴직연금 방치했다가 충격",별별스크랩,https://www.youtube.com/watch?v=RE8fr3xsZpM,2021-02-08
300,2196,175,0,2,항공사+주가,"1155일간 혈투, JAL항공사 부활기",전략TV,https://www.youtube.com/watch?v=WcDd9NBmXsQ,2020-06-19
301,283472,5866,0,23,항공사+주가,"예상을 충족한 CPI, 투자심리는 아직//시장에서 단순환 선악의 판단은 성립되지 않는다_22.12.14",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=GtBXgZeNKvo,2022-12-14
302,6530,87,0,31,항공사+주가,"[경제 완전정복] 조원태 손들어준 법원…아시아나 인수 순항, 외국인의 배신? 자동매매의 배신?, 팬데믹 대전 동학개미의 승? (2020.12.01/뉴스외전/MBC)",MBCNEWS,https://www.youtube.com/watch?v=6d2izJ2revk,2020-12-01
303,12289,57,0,7,항공사+주가,전세계 국적항공사도 연쇄 셧다운...실물 경제 잠식 우려 / YTN, YTN,https://www.youtube.com/watch?v=bIT1K3yC5K8,2020-03-26
304,59073,1390,0,74,항공사+주가,[머니올라 75회]&quot;주가 떨어지면 경제 유지 못해&quot;...미국 증시가 강한 이유는?(김일구 상무),머니올라_KBS,https://www.youtube.com/watch?v=WLzEAlvwfxM,2020-11-05
305,4236,17,0,15,항공사+주가,"공정위, 대한항공-아시아나항공 합병 조건부 승인 가닥 / SBS",SBS 뉴스,https://www.youtube.com/watch?v=VXzkeW9eX78,2021-12-29
306,936,14,0,18,항공사+주가,델타항공 지금 사도 될까? 항공사의 미래는? | 델타항공 매수 완료,이프로tv,https://www.youtube.com/watch?v=aw31cyalWU4,2020-07-12
307,6934,218,0,41,항공사+주가,기업은 하나인데 주가는 두개?/이남우 교수(2부),와이스트릿 Ystreet,https://www.youtube.com/watch?v=1vY2yV5JtgM,2021-10-01
308,54,4,0,2,항공사+주가,[한국경제] 국내 방산株도 질주…한국항공우주 27%·LIG넥스원 17%↑ 박의명 기자,Economic news 읽어주는 여자 이코녀,https://www.youtube.com/watch?v=CCExFOrCc3g,2022-04-10
309,3391,21,0,11,항공사+주가,"대한항공, 아시아나 품을까?…&#39;빅딜&#39; 넘어야 할 산 많다 / SBS",SBS 뉴스,https://www.youtube.com/watch?v=YHGDQ_xaJbw,2020-11-14
310,19,1,0,2,항공사+주가,[The Korea Herald] Travelers flock to airport despite surge in COVID cases By Korea Herald,Economic news 읽어주는 여자 이코녀,https://www.youtube.com/watch?v=i1VgKKaOvvw,2022-07-17
311,150993,4509,0,29,항공사+주가,"경기 부양을 위한 연준의 계획과 주가에 미치는 영향은?_오늘아침 page2_박종훈, 이항영, 염승환",삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=Lis0u6eDt6o,2020-10-28
312,686,6,0,0,항공사+주가,&quot;왜 유상증자?&quot; 양대 항공사 통합방식 법원 심사 착수 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=ouOG4H1HMds,2020-11-25
313,128939,3168,0,357,항공사+주가,[단독] &#39;野 출신 총리·3선 의원&#39; 이스타항공에 채용청탁 문건 입수,뉴스TVCHOSUN,https://www.youtube.com/watch?v=OAQuLCNakxA,2022-09-19
314,83,1,0,0,항공사+주가,델타는 항공사 입니다.,Central Intelligence Agency,https://www.youtube.com/watch?v=o2gnXu48y4E,2021-08-23
315,350,65,0,3,항공사+주가,"마감 : 강세테마 : 탈모 치료 관련주, 항공/저가 항공사, 여행, U-Healthcare(원격진료), 치매, 줄기세포, 바이오시밀러, 전력설비, 의료기기 등...",주식회사_곽부장,https://www.youtube.com/watch?v=fIo_9Dl1jyY,2022-03-16
316,1525,43,0,5,항공사+주가,주식 수익률이 고민인 당신을 위한 영상 | 투자 전략 | 신한 알파와 해외주식으로 두 번째 월급 만들기,신한투자증권 - 알파TV,https://www.youtube.com/watch?v=Gjr3GU89Y4I,2021-05-18
317,79,0,0,0,항공사+주가,"[출발새아침] [경제 이야기] &quot;아시아나 인수하는 대한항공, 항공사 독과점 시대 열리나&quot;_최양오 현대경제연구원 고문",YTN 라디오,https://www.youtube.com/watch?v=CtuJWNTM-rY,2020-11-17
318,143,21,0,6,항공사+주가,위드코로나관련주(1편)/항공기부품관련주/저가항공사관련주,주식놀러와,https://www.youtube.com/watch?v=SYPLmLDlcGQ,2022-03-08
319,738,10,0,1,항공사+주가,저가 항공사 마일리지 적립하자! 우리카드 [ 카드의 정석 UNI MILE ],신용카드100만 포인트,https://www.youtube.com/watch?v=85E1V9UlBqA,2021-06-17
320,51769,1466,0,17,항공사+주가,이벤트에 움직이는 삼성 관련주.. 기업 가치로 판단하라 f.염승환 차장,삼프로TV_경제의신과함께,https://www.youtube.com/watch?v=lVXymjzSQ_o,2020-10-26
