Date,viewCount,likeCount,favoriteCount,commentCount,key,title,channel
2021-10-18,946.0,246.0,0.0,89.0,항공 +코로나 -스포츠,#데브시스터즈 #카카오게임즈 #컴투스 #게임주 #CGV #대한항공 #위드코로나 #리오프닝 #항공주,@e편한 주식투자
2020-04-27,282.0,16.0,0.0,0.0,항공 +코로나 -스포츠,"항공사 위기상황 분석 : 대한민국, 항공의 수를 줄여야 한다! (코로나 이전 항공업계 분석 시리즈 세번째)",채널 DRS- 항공 위키백과 airline wikipedia
2021-02-25,2576.0,15.0,0.0,20.0,항공 +코로나 -스포츠,[꿈윙TV] 항공과 가도 될까? 코로나19 이후 항공산업 전망,연희쌤
2020-12-04,230.0,13.0,0.0,7.0,항공 +코로나 -스포츠,또히가족 코로나 공항 브이로그 (에미레이트 항공타고 이집트 카이로-두바이-대한민국 인천),또히안녕DoheeHi
2021-02-16,8367.0,257.0,0.0,422.0,항공 +코로나 -스포츠,"코로나 끝나면 항공주가 대박 터트리지 않을까? - JETS, LUV, DAL, AAL, UAL, BA, AC, GD, RTX, LMT, NOC",천수르
2021-05-24,430.0,27.0,0.0,,항공 +코로나 -스포츠,대한항공 / 파버나인 / 지니뮤직 / 마이크로디지탈 / 여행주 / 코로나 / 항공주 / 백신 수송 / 메타버스 / 모더나 / 세포배양 / CBDC / 로지시스 / 케이씨티,오공주차트룸
2020-08-31,269.0,3.0,0.0,2.0,항공 +코로나 -스포츠,항공정비사연구소 극악타천 과기전TV 코로나극복 방송,항공정비사연구소
2021-08-08,1460.0,12.0,0.0,1.0,항공 +코로나 -스포츠,대한항공 비즈니스석 리뷰 / 코로나 후 KAL 라운지 변경사항,규보트유보트
2021-10-02,36516.0,2967.0,0.0,125.0,항공 +코로나 -스포츠,"코로나경구용치료제개발(머크)다우+1.48%상승,항공여행디즈니산업재상승10년물국채금리하락 빅테크상승,다음주국내주식시장영향은?",TV주식의 강해
2020-10-16,633.0,5.0,0.0,0.0,항공 +코로나 -스포츠,코로나기간 에티오피아항공 비지니스석 리뷰 + 공항라운지 Ethiopian Airlines Business Class+ Lounge,Safari SaLong
2021-01-06,1048.0,32.0,0.0,2.0,항공 +코로나 -스포츠,[Eng]싱가포르로 출국하는 브이로그 | 코로나 격리 | 싱가포르  항공 | Korea to Singapore | Covid Quarantine | Singapore airline,새새모 Saesaemo
2021-11-21,799.0,34.0,0.0,10.0,항공 +코로나 -스포츠,eng) London Vlog 🇬🇧  코로나 시국에  대한항공 타고 출국 ✈️| 영국 야경 | 한국음식 사기 | 타워브릿지 (feat. 택시타기 꿀팁) | 영국 유학생 브이로그,About Seoyeon
2021-12-22,111.0,,0.0,,항공 +코로나 -스포츠,대한항공 이제 코로나 변이에 두려워 말고 최대 실적에 주목하자!!,혼잣말 주식
2021-09-14,150.0,22.0,0.0,26.0,항공 +코로나 -스포츠,"급등 임박한 위드코로나 승부주 전격 공개!(급등주 포착, 여행 관련주, 항공 관련주, 참좋은여행, 노랑풍선)",주식라이브
2022-10-27,68704.0,861.0,0.0,88.0,항공 +코로나 -스포츠,tokyo vlog🛫 무비자 입국 근황🛎 코로나 이후 첫 도쿄여행. 제주항공. 쇼핑도 빼놓을 수 없지🎱 이치란라멘.모토무라.야키니쿠.브런치 맛집,지영월드ZYOUNGWORLD
2022-07-07,335.0,4.0,0.0,1.0,항공 +코로나 -스포츠,"대한항공 (003490) - 이제 좀 올라가나 했는데, 코로나?",허브경제TV
2020-08-19,5885.0,71.0,0.0,24.0,항공 +코로나 -스포츠,코로나로 흔들리는 항공주? 대한항공은 어떻게 될까?,알렉스강의 주식이야기
2022-02-08,275.0,9.0,0.0,,항공 +코로나 -스포츠,[제주항공] 위드코로나 기대/항공주 기술적 반등!? 과감한 매도가 수익을 만든다,영스톡
2021-08-10,147.0,4.0,0.0,1.0,항공 +코로나 -스포츠,"[종목진단] 하이즈항공(221840) 포스트 코로나시대, 항공기 부품주에 관심! | 2021.08.10(화)",나폴레옹tv
2021-03-07,360.0,7.0,0.0,2.0,항공 +코로나 -스포츠,2021 코로나여행: 에미레이트항공 타고 15년만에 두바이 다시 왔어요+ Dubai Park Regis Hotel Review,Safari SaLong
2022-07-10,222.0,8.0,0.0,1.0,항공 +코로나 -스포츠,"2022 하반기 분야별 투자 해볼만한 기업들 두번째, 항공운송업 턴어라운드, 코로나19 재유행 공식화",투머치팍_마음만은 가치투자
2022-07-02,4936.0,22.0,0.0,14.0,항공 +코로나 -스포츠,[VLOG]✈️🇺🇸미국 출국 브이로그!코로나 음성 검사지 필요없다고?|델타항공 후기|애틀랜타 직항|Going to america |미국입국 코로나음성검사지 폐지|미국입국서류정리,에이프릴23 APRIL23
2021-08-26,376.0,24.0,0.0,2.0,항공 +코로나 -스포츠,"[주식투자] 위드코로나 시대 수급투자 유망주 7선(여행,항공,공연,화장품,폴더블폰 등)",이웃집 트레이더 -구본영
2020-11-12,324.0,4.0,0.0,1.0,항공 +코로나 -스포츠,[용호] 대한항공 코로나 피해주 한템포만 더 지켜보자,주식으로 슈퍼직장인
2021-09-18,2093.0,60.0,0.0,30.0,항공 +코로나 -스포츠,"(해외여행)저 태국 푸켓가요!싱가포르항공 바뀐 규정 안내,아고다로 호텔 예약 후 SHABA ID 받는법,푸켓코로나검사 PSAS 예약방법",식탐 많은 거미의 여행 spider traveler
2022-08-12,25938.0,260.0,0.0,53.0,항공 +코로나 -스포츠,비엣젯항공 좌석 예매 모든 것을 꼼꼼하게 알려 드립니다!/ 베트남 다낭 나트랑 푸꾸옥 호치민 하노이  달랏 껀터 하이퐁 여행 직항 항공권 예약 사전 좌석  기내식 위탁 수화물,여행도 열심히 (N잡러)
2021-10-07,277.0,10.0,0.0,0.0,항공 +코로나 -스포츠,대한항공 (003490) - 위드 코로나,허브경제TV
2021-10-15,315.0,35.0,0.0,19.0,항공 +코로나 -스포츠,WITH 코로나 이후의 주식투자(#대한항공 #아시아나항공 #GKL #강원랜드 #코텍 #무쏘TV #주식투자 #장기투자 #안전한투자),무쏘TV서정구 대표
2022-10-08,196.0,2.0,0.0,0.0,항공 +코로나 -스포츠,"[다시 다가오는 코로나 피해주의 주가하락] 대한항공, 제주항공, 티웨이항공, 아시아나항공",M경제
2020-02-02,77.0,0.0,0.0,0.0,항공 +코로나 -스포츠,현대캐피탈 스카이워커스 skywalkers 대한항공점보스전 코로나바이러스 고열 체크 korea pro volleyball,Kim Joony
2021-01-24,90721.0,688.0,0.0,187.0,항공 +코로나 -스포츠,"🇹🇭01.코로나 음성, 태국으로 출국(feat. 29900원짜리 대한항공 비지니스석)",베지트립 Veggie trip
2022-10-15,3104.0,42.0,0.0,18.0,항공 +코로나 -스포츠,[파리 여행] 여자 혼자 파리 여행🇫🇷 l 사우디아항공 경유 l 프랑스 파리 l 생일 날 도착한 파리 l 여행 브이로그 l 코로나 해외여행,에브리지은
2021-03-24,675.0,8.0,0.0,1.0,항공 +코로나 -스포츠,대한항공 유상증자 추가상장 완료. 코로나 재유행 우려에 주가 괜찮나?,주식으로 슈퍼직장인
2021-06-01,1112.0,44.0,0.0,,항공 +코로나 -스포츠,한국공항 코로나 백신효과로 항공지상 조업수요 회복 및 대한항공 아시아나항공 합병 효과 수혜,태린이아빠
2021-09-27,1097.0,48.0,0.0,3.0,항공 +코로나 -스포츠,"대한항공 위드 코로나로 상승흐름, 대한항공 목표가는? - 대한항공 5분이면 다 해결됩니다!",주식 프로트레이더 최강주
2022-01-23,307.0,14.0,0.0,1.0,항공 +코로나 -스포츠,(미국) 코로나에 대한항공 타고 미국에서 한국가기 (워싱턴DC-인천) (USA) From the US to Korea by Korean Air for Corona,행복한 선물 사랑이
2021-07-16,1021.0,22.0,0.0,4.0,항공 +코로나 -스포츠,코로나로 급락했지만 대한항공을 추천하는 이유,hk투자그룹
2020-04-25,210.0,3.0,0.0,2.0,항공 +코로나 -스포츠,항공방제일지 4탄 자동드론으로 코로나19 방역하기!  XAIRCRAFT P20 지페이(2018) 양평군드론연합회,씨누크TV
2020-08-29,5531.0,,0.0,14.0,항공 +코로나 -스포츠,코스모 스위트 2.0 체험기 l 코로나 뚫고 한국가요 🥺 대한항공 퍼스트 클래스 타고 우아하게 런던에서 인천으로 탈출하기 🥶👩‍💻🧤🌎✈️,jj l
2021-10-13,727.0,4.0,0.0,1.0,항공 +코로나 -스포츠,대한항공(003490) - 위드코로나 대표주! 하지만..,AP투자연구소 팀 브라보
2021-10-26,355.0,23.0,0.0,3.0,항공 +코로나 -스포츠,&#39;위드코로나&#39;가 실화가 된다... 여행 항공 이런거 말고 숨겨진 수혜주는 없을까? :: 박명석:D의 시장 이야기,명석로그 Myung Seok Log
2021-09-23,361.0,4.0,0.0,1.0,항공 +코로나 -스포츠,[티웨이항공] 세계는 지금 &#39;위드코로나&#39; 주요 항공주 후속주 A부터 Z까지 정밀분석!! 下 #대한항공 #아시아나 #아시아나IDT #티웨이항공 #티웨이홀딩스 #맥머니 #차동환,쩐자사나이 주식연구소
2021-07-09,30780.0,1696.0,0.0,72.0,항공 +코로나 -스포츠,삼성전자 삼성전자우 주가전망 - 코로나 4차 대유행 | 제주항공 주가전망,카이스트 마미손
2021-09-23,848.0,41.0,0.0,,항공 +코로나 -스포츠,위드코로나 아시아나항공(여행주) 누리호~쎄트렉아이,확실한 단타매매기법 전수실전매매기법
2020-09-30,2082.0,20.0,0.0,9.0,항공 +코로나 -스포츠,"ENG)코로나 특가 40만원 비지니스 클래스, 카타르 항공, 한국으로 도피",빵지니 0genie
2022-01-14,18684.0,303.0,0.0,54.0,항공 +코로나 -스포츠,"1. M사 스페인, 포르투갈 일주 에티하드 항공 9일 패키지 여행 장단점 리뷰",패키지 미리보기
2020-10-12,5535.0,135.0,0.0,,항공 +코로나 -스포츠,"사회적거리두기1단계!(아모레퍼시픽,대한항공,아시나나항공,코로나피해주,화장품주,항공주,코스파트너스,관심종목,주식투자)",불사조
2021-12-16,3944.0,32.0,0.0,8.0,항공 +코로나 -스포츠,JFK-ICN/대한항공 비지니스석 후기/ feat.코로나시국/ 고양이도 함께,뉴욕켈로그 🇺🇸
2022-02-05,1039.0,2.0,0.0,0.0,항공 +코로나 -스포츠,"텅 비어있는 아시아나항공 B카운터, 인천국제공항 제 1여객터미널 출국장. 오미크론 바이러스 코로나 확진지 확산으로 공항은 다시 잠잠. 소니카메라 사진 출사. #shorts",티엘TL
2022-04-17,56.0,0.0,0.0,0.0,항공 +코로나 -스포츠,아시아나항공 tv cf 위드코로나 버젼,이허니
2021-07-15,1572.0,22.0,0.0,8.0,항공 +코로나 -스포츠,정원의 투자일기 51편 / 15.054% / 아시아나항공 거래 재개 코로나 영향성은?,정원의투자일기
2021-09-26,336.0,16.0,0.0,0.0,항공 +코로나 -스포츠,"[대한항공] 이젠 다시 날아오를 시간, 위드코로나 최고 수혜주, 대한항공 분석, 대한항공 주가!",종투의 투자스토리
2022-06-05,5600.0,46.0,0.0,21.0,항공 +코로나 -스포츠,나홀로 싱가포르 여행🧸 | 롱디커플 | 스쿠트항공 후기 | 시아로그 | 코로나 최신 규정 | 브이로그,시아_log
2022-02-07,99.0,4.0,0.0,1.0,항공 +코로나 -스포츠,"[2월 둘째주 시읽남] - 대한항공, 위드코로나 대장주 드디어 비상하나?",위캔스탁
2021-09-04,307.0,15.0,0.0,0.0,항공 +코로나 -스포츠,[주식드림]위드코로나관련주 항공 여행주 공부 아시아나항공 대한항공 하나투어 참좋은여행 실적 턴어라운드 종목공략,주식드림
